disease,symptoms
pyelonephritis,"vomiting,sharp abdominal pain,low back pain,back pain"
cryptorchidism,"symptoms of the scrotum and testes,lack of growth,swelling of scrotum"
problem during pregnancy,"problems during pregnancy,pelvic pain,sharp abdominal pain,nausea,lower abdominal pain,spotting or bleeding during pregnancy,headache"
thrombophlebitis,"arm pain,leg swelling,leg pain,foot or toe pain,skin swelling"
panic disorder,"depressive or psychotic symptoms,depression,dizziness,palpitations,breathing fast,irregular heartbeat"
eye alignment disorder,"eye deviation,eye moves abnormally,irregular appearing scalp"
asthma,"fever,cough,coughing up sputum,wheezing,nasal congestion,difficulty breathing"
panic disorder,"depressive or psychotic symptoms,irregular heartbeat,dizziness,abnormal involuntary movements,depression,chest tightness,insomnia"
chronic pain disorder,"pelvic pain,leg pain,shoulder pain,hip pain,headache,back pain"
eye alignment disorder,"double vision,irregular appearing scalp,pain in eye,eye moves abnormally,eye deviation,lack of growth"
acute pancreatitis,"side pain,back pain,lower body pain,burning abdominal pain,hemoptysis,sharp abdominal pain,abusing alcohol,nausea"
thrombophlebitis,"skin swelling,lymphedema,ache all over,leg swelling,arm swelling,leg pain"
eating disorder,"acne or pimples,depressive or psychotic symptoms,insomnia,difficulty eating,weight gain,depression"
cellulitis or abscess of mouth,"throat swelling,difficulty in swallowing,lip swelling,abnormal appearing skin,skin growth,toothache"
eating disorder,"insomnia,depression,difficulty eating,acne or pimples,decreased appetite,depressive or psychotic symptoms,anxiety and nervousness"
vaginitis,"suprapubic pain,pelvic pain,pain during intercourse,lower abdominal pain,vaginal discharge,vaginal redness,vaginal itching,painful urination"
choledocholithiasis,"chills,vomiting,side pain,upper abdominal pain,jaundice,sharp chest pain"
acute pancreatitis,"hemoptysis,vomiting,side pain,sharp chest pain,back pain"
problem during pregnancy,"pain during pregnancy,cramps and spasms,problems during pregnancy,lower abdominal pain,spotting or bleeding during pregnancy,vomiting,sharp abdominal pain,nausea,headache,pelvic pain"
eye alignment disorder,"diminished vision,irregular appearing scalp,symptoms of eye,lack of growth,pain in eye,cross-eyed"
panic disorder,"dizziness,shortness of breath,anxiety and nervousness,abnormal involuntary movements,palpitations,irregular heartbeat,chest tightness"
chronic pain disorder,"leg pain,shoulder pain,sharp abdominal pain,ache all over"
atelectasis,"dizziness,sore throat,cough,headache"
thrombophlebitis,"skin on leg or foot looks infected,arm swelling,skin swelling"
ischemia of the bowel,"retention of urine,vomiting,constipation,burning abdominal pain"
vocal cord polyp,"throat feels tight,throat swelling,difficulty speaking"
transient ischemic attack,"loss of sensation,headache,paresthesia,depressive or psychotic symptoms"
panic disorder,"insomnia,depression,abnormal involuntary movements,palpitations,dizziness,irregular heartbeat,anxiety and nervousness"
subdural hemorrhage,"facial pain,dizziness,vomiting,irritable infant"
asthma,"chest tightness,coughing up sputum,allergic reaction,wheezing"
vaginitis,"vaginal itching,painful urination,pain during pregnancy,suprapubic pain,sharp abdominal pain"
panic disorder,"depressive or psychotic symptoms,breathing fast,shortness of breath,insomnia,abnormal involuntary movements"
chronic pain disorder,"leg pain,shoulder pain,low back pain,back pain,ache all over,knee pain"
panic disorder,"depressive or psychotic symptoms,dizziness,depression,abnormal involuntary movements,anxiety and nervousness,breathing fast,chest tightness"
asthma,"coughing up sputum,sharp chest pain,allergic reaction,fever,cough,coryza,difficulty breathing,wheezing"
diabetic retinopathy,"abnormal movement of eyelid,lacrimation,foreign body sensation in eye,symptoms of eye,itchiness of eye"
acute pancreatitis,"sharp abdominal pain,hemoptysis,vomiting,lower body pain"
problem during pregnancy,"problems during pregnancy,sharp abdominal pain,headache,pelvic pain,pain during pregnancy,spotting or bleeding during pregnancy"
eye alignment disorder,"pain in eye,cross-eyed,double vision,eye deviation"
atrophic vaginitis,"suprapubic pain,painful urination,blood in urine"
glaucoma,"lacrimation,eye redness,symptoms of eye"
acute pancreatitis,"abusing alcohol,lower body pain,burning abdominal pain,vomiting,back pain,hemoptysis,side pain"
vaginitis,"vaginal redness,sharp abdominal pain,painful urination,lower abdominal pain,suprapubic pain,pelvic pain,vaginal pain,pain during intercourse"
transient ischemic attack,"depressive or psychotic symptoms,difficulty speaking,focal weakness,weakness"
chronic pain disorder,"ache all over,low back pain,shoulder pain,pelvic pain"
pyelonephritis,"frequent urination,suprapubic pain,low back pain,lower abdominal pain,back pain,blood in urine,painful urination"
thoracic aortic aneurysm,"fatigue,shortness of breath,sharp abdominal pain,jaundice,sharp chest pain,chest tightness"
asthma,"allergic reaction,coughing up sputum,nasal congestion,chest tightness,wheezing"
fibromyalgia,"low back pain,sharp chest pain,ache all over,hip pain,headache"
acute pancreatitis,"burning abdominal pain,sharp chest pain,diarrhea,upper abdominal pain,hemoptysis"
tinnitus of unknown cause,"itchy ear(s),hoarse voice,headache,diminished hearing,ear pain,dizziness,ringing in ear"
glaucoma,"lacrimation,itchiness of eye,symptoms of eye,spots or clouds in vision,eye redness"
pyelonephritis,"sharp abdominal pain,vomiting,nausea,side pain"
glaucoma,"symptoms of eye,itchy eyelid,spots or clouds in vision,foreign body sensation in eye"
panic disorder,"abnormal involuntary movements,irregular heartbeat,shortness of breath,palpitations,insomnia,depression,chest tightness,dizziness"
fibromyalgia,"arm pain,back pain,neck pain,low back pain,sharp chest pain,leg pain,hip pain"
eye alignment disorder,"symptoms of eye,eye deviation,lack of growth,double vision"
choledocholithiasis,"chills,upper abdominal pain,vomiting,decreased appetite,nausea"
choledocholithiasis,"vomiting,decreased appetite,jaundice,sharp chest pain,upper abdominal pain,side pain"
pyelonephritis,"nausea,lower abdominal pain,suprapubic pain,side pain,vomiting,back pain,low back pain,sharp abdominal pain"
tinnitus of unknown cause,"diminished hearing,ringing in ear,dizziness"
vaginitis,"sharp abdominal pain,pelvic pain,vaginal discharge,lower abdominal pain,suprapubic pain,pain during pregnancy"
vaginitis,"vaginal pain,lower abdominal pain,painful urination,suprapubic pain"
fetal alcohol syndrome,"excessive anger,depressive or psychotic symptoms,emotional symptoms"
thrombophlebitis,"skin swelling,foot or toe pain,arm pain,lymphedema"
pyelonephritis,"frequent urination,sharp abdominal pain,blood in urine,painful urination,lower abdominal pain,side pain"
vaginitis,"pain during intercourse,vaginal redness,pain during pregnancy,sharp abdominal pain,painful urination,vaginal pain"
pyelonephritis,"lower abdominal pain,side pain,back pain,blood in urine,nausea,suprapubic pain"
injury to the hand,"skin growth,joint pain,wrist swelling"
sick sinus syndrome,"dizziness,fainting,shortness of breath,decreased heart rate,irregular heartbeat,weakness"
transient ischemic attack,"paresthesia,focal weakness,weakness,depressive or psychotic symptoms,headache,loss of sensation"
panic disorder,"anxiety and nervousness,palpitations,depression,depressive or psychotic symptoms,chest tightness"
glaucoma,"pain in eye,itchiness of eye,symptoms of eye,diminished vision,foreign body sensation in eye,itchy eyelid"
transient ischemic attack,"loss of sensation,headache,dizziness,focal weakness,disturbance of memory,weakness"
cellulitis or abscess of mouth,"throat swelling,abnormal appearing skin,lip swelling,skin growth"
problem during pregnancy,"back pain,pelvic pain,spotting or bleeding during pregnancy,vomiting"
cellulitis or abscess of mouth,"toothache,lip swelling,throat swelling,skin growth,abnormal appearing skin"
peritonitis,"nausea,groin mass,shortness of breath,intermenstrual bleeding"
fibromyalgia,"ache all over,back pain,leg pain,neck pain,hip pain"
pyelonephritis,"frequent urination,side pain,low back pain"
diabetic retinopathy,"double vision,foreign body sensation in eye,itchiness of eye,pain in eye,diminished vision,lacrimation,abnormal movement of eyelid"
asthma,"allergic reaction,wheezing,coryza,sharp chest pain,difficulty breathing"
cirrhosis,"vomiting blood,peripheral edema,blood in stool,abdominal distention"
choledocholithiasis,"decreased appetite,upper abdominal pain,side pain,sharp chest pain"
cirrhosis,"upper abdominal pain,blood in stool,regurgitation,regurgitation.1,shortness of breath,abdominal distention"
atrophic vaginitis,"pain during intercourse,vaginal discharge,involuntary urination,blood in urine,frequent urination,vaginal itching"
acute pancreatitis,"upper abdominal pain,lower body pain,back pain,diarrhea,vomiting,sharp chest pain"
glaucoma,"eye redness,spots or clouds in vision,itchiness of eye,symptoms of eye,itchy eyelid,diminished vision"
choledocholithiasis,"sharp abdominal pain,decreased appetite,nausea"
eye alignment disorder,"diminished vision,double vision,lack of growth,irregular appearing scalp,eye moves abnormally,pain in eye,symptoms of eye"
chronic pain disorder,"headache,shoulder pain,low back pain,back pain,ache all over,pelvic pain"
cirrhosis,"blood in stool,upper abdominal pain,vomiting blood,shortness of breath,peripheral edema"
rotator cuff injury,"shoulder weakness,arm stiffness or tightness,hand or finger stiffness or tightness"
problem during pregnancy,"headache,cramps and spasms,pelvic pain,problems during pregnancy,sharp abdominal pain,spotting or bleeding during pregnancy"
diabetic retinopathy,"abnormal movement of eyelid,itchiness of eye,lacrimation,foreign body sensation in eye"
panic disorder,"dizziness,depressive or psychotic symptoms,anxiety and nervousness,depression,irregular heartbeat"
eating disorder,"acne or pimples,anxiety and nervousness,insomnia"
problem during pregnancy,"pelvic pain,pain during pregnancy,sharp abdominal pain,nausea,lower abdominal pain,vomiting"
fibromyalgia,"neck pain,arm pain,muscle pain,ache all over,low back pain,back pain,hip pain,leg pain"
cellulitis or abscess of mouth,"difficulty in swallowing,throat swelling,skin growth,lip swelling,sore throat,abnormal appearing skin"
glaucoma,"itchy eyelid,lacrimation,itchiness of eye,foreign body sensation in eye,diminished vision,symptoms of eye,spots or clouds in vision"
asthma,"allergic reaction,chest tightness,sharp chest pain,nasal congestion,coughing up sputum,wheezing,coryza"
diabetic retinopathy,"abnormal movement of eyelid,diminished vision,lacrimation,foreign body sensation in eye"
thrombophlebitis,"skin swelling,ache all over,leg pain"
eating disorder,"insomnia,weight gain,abusing alcohol,depression,decreased appetite,acne or pimples"
glaucoma,"spots or clouds in vision,itchy eyelid,foreign body sensation in eye,pain in eye,itchiness of eye,symptoms of eye"
headache after lumbar puncture,"nausea,painful urination,dizziness,vomiting"
vaginitis,"pelvic pain,vaginal redness,vaginal pain,lower abdominal pain,painful urination"
pyelonephritis,"vomiting,frequent urination,painful urination,blood in urine,suprapubic pain,lower abdominal pain,nausea,low back pain"
sick sinus syndrome,"increased heart rate,palpitations,shortness of breath,fainting"
chronic pain disorder,"low back pain,leg pain,sharp abdominal pain,pelvic pain"
eating disorder,"acne or pimples,weight gain,depressive or psychotic symptoms,abusing alcohol"
transient ischemic attack,"weakness,depressive or psychotic symptoms,focal weakness,paresthesia,symptoms of the face"
peritonitis,"side pain,sharp abdominal pain,back pain"
acute pancreatitis,"lower body pain,nausea,sharp chest pain,back pain,burning abdominal pain,abusing alcohol,side pain,sharp abdominal pain"
fibromyalgia,"sharp chest pain,low back pain,neck pain,headache"
glaucoma,"itchiness of eye,diminished vision,pain in eye,spots or clouds in vision,lacrimation"
sick sinus syndrome,"shortness of breath,increased heart rate,palpitations,fainting,decreased heart rate,dizziness,irregular heartbeat"
choledocholithiasis,"decreased appetite,upper abdominal pain,side pain"
panic disorder,"chest tightness,depressive or psychotic symptoms,insomnia"
acute pancreatitis,"burning abdominal pain,vomiting,side pain,abusing alcohol,upper abdominal pain,diarrhea,nausea,sharp chest pain"
panic disorder,"dizziness,abnormal involuntary movements,depressive or psychotic symptoms,breathing fast,depression,insomnia,irregular heartbeat"
acute pancreatitis,"vomiting,upper abdominal pain,hemoptysis,back pain"
panic disorder,"anxiety and nervousness,insomnia,shortness of breath,depression,abnormal involuntary movements,palpitations"
eating disorder,"insomnia,anxiety and nervousness,acne or pimples,difficulty eating,abusing alcohol,decreased appetite"
transient ischemic attack,"disturbance of memory,depressive or psychotic symptoms,symptoms of the face,loss of sensation,paresthesia,focal weakness,headache"
acute pancreatitis,"side pain,back pain,sharp chest pain,hemoptysis,lower body pain,nausea,abusing alcohol"
atrophic vaginitis,"pain during intercourse,vaginal itching,blood in urine,vaginal discharge"
subdural hemorrhage,"depressive or psychotic symptoms,dizziness,facial pain"
thrombophlebitis,"leg pain,skin swelling,foot or toe pain,skin on leg or foot looks infected,arm swelling"
pyelonephritis,"painful urination,vomiting,low back pain,lower abdominal pain,sharp abdominal pain,frequent urination,suprapubic pain,blood in urine"
pyelonephritis,"lower abdominal pain,blood in urine,sharp abdominal pain,low back pain,painful urination,nausea,vomiting,side pain"
atrophic vaginitis,"blood in urine,painful urination,vaginal itching,suprapubic pain,vaginal discharge"
chronic pain disorder,"hip pain,headache,sharp abdominal pain,pelvic pain"
transient ischemic attack,"paresthesia,difficulty speaking,loss of sensation,depressive or psychotic symptoms,dizziness"
fibromyalgia,"arm pain,ache all over,hip pain,leg pain"
acute pancreatitis,"hemoptysis,nausea,sharp chest pain,upper abdominal pain,abusing alcohol,sharp abdominal pain,back pain"
vaginitis,"vaginal discharge,pain during pregnancy,vaginal itching,suprapubic pain"
asthma,"shortness of breath,fever,allergic reaction,chest tightness,sharp chest pain,difficulty breathing,coughing up sputum"
thrombophlebitis,"arm swelling,ache all over,leg pain,skin swelling"
pyelonephritis,"low back pain,nausea,lower abdominal pain,vomiting"
glaucoma,"foreign body sensation in eye,spots or clouds in vision,itchy eyelid,symptoms of eye,itchiness of eye,eye redness"
ischemia of the bowel,"constipation,burning abdominal pain,vomiting,sharp abdominal pain,nausea"
cellulitis or abscess of mouth,"difficulty in swallowing,throat swelling,lip swelling,toothache,skin growth"
panic disorder,"irregular heartbeat,depression,depressive or psychotic symptoms,dizziness,palpitations,abnormal involuntary movements,insomnia,chest tightness"
asthma,"chest tightness,nasal congestion,allergic reaction,shortness of breath"
transient ischemic attack,"paresthesia,depressive or psychotic symptoms,difficulty speaking,headache"
problem during pregnancy,"problems during pregnancy,nausea,lower abdominal pain,vomiting,back pain,cramps and spasms"
vocal cord polyp,"difficulty speaking,throat swelling,throat feels tight"
glaucoma,"itchiness of eye,spots or clouds in vision,foreign body sensation in eye,symptoms of eye"
vaginitis,"vaginal redness,sharp abdominal pain,suprapubic pain,vaginal itching"
osteochondrosis,"elbow pain,hand or finger pain,knee pain,bowlegged or knock-kneed,ankle pain"
asthma,"cough,allergic reaction,wheezing"
problem during pregnancy,"problems during pregnancy,spotting or bleeding during pregnancy,pelvic pain,nausea,back pain"
pyelonephritis,"sharp abdominal pain,frequent urination,suprapubic pain,nausea,side pain"
ischemia of the bowel,"vomiting,nausea,retention of urine,burning abdominal pain,constipation"
panic disorder,"chest tightness,abnormal involuntary movements,anxiety and nervousness,depression,insomnia,breathing fast,depressive or psychotic symptoms"
fibromyalgia,"muscle pain,ache all over,low back pain,neck pain,hip pain"
acute pancreatitis,"abusing alcohol,sharp abdominal pain,hemoptysis,upper abdominal pain,lower body pain,burning abdominal pain,sharp chest pain,back pain,vomiting"
pyelonephritis,"lower abdominal pain,sharp abdominal pain,side pain,back pain,blood in urine,frequent urination"
peritonitis,"side pain,vomiting,shortness of breath,back pain,intermenstrual bleeding"
pyelonephritis,"sharp abdominal pain,frequent urination,painful urination,blood in urine,nausea,suprapubic pain,back pain,side pain"
asthma,"allergic reaction,sharp chest pain,nasal congestion,wheezing,fever,coughing up sputum"
glaucoma,"pain in eye,foreign body sensation in eye,diminished vision,symptoms of eye,eye redness,itchy eyelid"
panic disorder,"irregular heartbeat,depression,depressive or psychotic symptoms,chest tightness,dizziness"
thoracic aortic aneurysm,"jaundice,fatigue,sharp chest pain,chest tightness,dizziness,sharp abdominal pain,shortness of breath"
vaginitis,"vaginal pain,vaginal redness,lower abdominal pain,pain during intercourse,vaginal itching,suprapubic pain"
asthma,"cough,coryza,wheezing,chest tightness"
eye alignment disorder,"irregular appearing scalp,cross-eyed,lack of growth,eye moves abnormally"
problem during pregnancy,"vomiting,pelvic pain,nausea,cramps and spasms,pain during pregnancy,sharp abdominal pain"
tinnitus of unknown cause,"diminished hearing,ear pain,itchy ear(s),dizziness,ringing in ear,headache"
acute pancreatitis,"vomiting,sharp chest pain,upper abdominal pain,lower body pain,abusing alcohol"
pyelonephritis,"sharp abdominal pain,suprapubic pain,vomiting"
acute pancreatitis,"side pain,sharp abdominal pain,abusing alcohol,back pain,upper abdominal pain,diarrhea,hemoptysis"
cirrhosis,"abdominal distention,vomiting blood,upper abdominal pain,shortness of breath"
cirrhosis,"regurgitation.1,sharp abdominal pain,abdominal distention,regurgitation,vomiting blood,blood in stool"
cellulitis or abscess of mouth,"skin growth,abnormal appearing skin,toothache,lip swelling,sore throat"
panic disorder,"depressive or psychotic symptoms,chest tightness,palpitations,irregular heartbeat"
atrophic vaginitis,"vaginal itching,painful urination,blood in urine,involuntary urination"
problem during pregnancy,"cramps and spasms,spotting or bleeding during pregnancy,pelvic pain,problems during pregnancy,headache,back pain"
asthma,"nasal congestion,cough,sharp chest pain,coryza,difficulty breathing,coughing up sputum,chest tightness,shortness of breath"
panic disorder,"depression,abnormal involuntary movements,irregular heartbeat,depressive or psychotic symptoms"
problem during pregnancy,"spotting or bleeding during pregnancy,sharp abdominal pain,pelvic pain,cramps and spasms,lower abdominal pain,vomiting,back pain,nausea"
acute pancreatitis,"sharp chest pain,hemoptysis,burning abdominal pain,upper abdominal pain"
chronic pain disorder,"leg pain,hip pain,back pain,headache"
atrophic vaginitis,"suprapubic pain,blood in urine,vaginal discharge,vaginal itching,involuntary urination"
acute pancreatitis,"back pain,burning abdominal pain,upper abdominal pain,side pain,sharp abdominal pain,diarrhea,abusing alcohol"
tinnitus of unknown cause,"headache,dizziness,itchy ear(s),diminished hearing,ringing in ear,hoarse voice"
acute pancreatitis,"sharp chest pain,sharp abdominal pain,diarrhea,vomiting,side pain,upper abdominal pain,hemoptysis,nausea"
pyelonephritis,"nausea,vomiting,blood in urine,back pain"
eye alignment disorder,"lack of growth,symptoms of eye,eye moves abnormally,pain in eye,cross-eyed,diminished vision"
atelectasis,"shortness of breath,sore throat,sharp chest pain,dizziness,headache"
problem during pregnancy,"nausea,vomiting,problems during pregnancy,back pain,headache,pelvic pain"
thrombophlebitis,"leg swelling,ache all over,arm swelling,skin swelling"
fibromyalgia,"muscle pain,leg pain,headache,hip pain,sharp chest pain"
transient ischemic attack,"headache,disturbance of memory,difficulty speaking,symptoms of the face,paresthesia"
chronic pain disorder,"leg pain,shoulder pain,back pain,sharp abdominal pain"
chronic pain disorder,"back pain,headache,knee pain,hip pain,ache all over"
thrombophlebitis,"skin on leg or foot looks infected,leg pain,skin swelling"
asthma,"coughing up sputum,cough,fever"
diabetic retinopathy,"pain in eye,lacrimation,foreign body sensation in eye,double vision,itchiness of eye,abnormal movement of eyelid"
chronic pain disorder,"ache all over,hip pain,back pain,pelvic pain,knee pain,leg pain"
panic disorder,"depressive or psychotic symptoms,shortness of breath,irregular heartbeat,anxiety and nervousness,chest tightness,depression,insomnia"
problem during pregnancy,"spotting or bleeding during pregnancy,nausea,pain during pregnancy,problems during pregnancy,pelvic pain,headache"
vaginitis,"painful urination,pain during intercourse,vaginal itching,suprapubic pain,vaginal pain,lower abdominal pain,pelvic pain"
cirrhosis,"peripheral edema,regurgitation.1,blood in stool,regurgitation,vomiting blood"
tinnitus of unknown cause,"hoarse voice,diminished hearing,plugged feeling in ear,dizziness,itchy ear(s)"
pyelonephritis,"low back pain,sharp abdominal pain,side pain,vomiting,frequent urination"
eating disorder,"anxiety and nervousness,depressive or psychotic symptoms,acne or pimples,depression,weight gain,difficulty eating,abusing alcohol,insomnia"
asthma,"coughing up sputum,difficulty breathing,nasal congestion,shortness of breath,chest tightness,cough"
eating disorder,"difficulty eating,depression,abusing alcohol,anxiety and nervousness"
vaginitis,"vaginal redness,suprapubic pain,pain during pregnancy,sharp abdominal pain,vaginal pain,pain during intercourse"
acute pancreatitis,"nausea,sharp abdominal pain,hemoptysis,upper abdominal pain,sharp chest pain,abusing alcohol,lower body pain"
diabetic retinopathy,"foreign body sensation in eye,pain in eye,symptoms of eye,itchiness of eye,abnormal movement of eyelid,spots or clouds in vision,diminished vision,double vision"
ischemia of the bowel,"burning abdominal pain,blood in stool,constipation,retention of urine,vomiting"
ischemia of the bowel,"burning abdominal pain,vomiting"
panic disorder,"depressive or psychotic symptoms,abnormal involuntary movements"
osteochondrosis,"knee pain,hand or finger pain,bowlegged or knock-kneed,ankle pain"
chronic pain disorder,"shoulder pain,leg pain,ache all over,back pain"
fibromyalgia,"leg pain,neck pain,arm pain"
pyelonephritis,"vomiting,back pain,side pain,painful urination,nausea,lower abdominal pain,blood in urine"
problem during pregnancy,"headache,pelvic pain,nausea,sharp abdominal pain,pain during pregnancy"
thrombophlebitis,"skin on leg or foot looks infected,lymphedema,skin swelling,arm pain"
eye alignment disorder,"eye moves abnormally,lack of growth,eye deviation,cross-eyed,irregular appearing scalp"
fracture of the hand,"hand or finger swelling,wrist swelling,arm pain,arm stiffness or tightness,wrist stiffness or tightness,wrist pain"
chronic pain disorder,"knee pain,sharp abdominal pain,shoulder pain,low back pain"
acute pancreatitis,"vomiting,upper abdominal pain,side pain,hemoptysis,burning abdominal pain,sharp abdominal pain"
acute pancreatitis,"burning abdominal pain,lower body pain,diarrhea"
panic disorder,"dizziness,anxiety and nervousness,depressive or psychotic symptoms,chest tightness"
acute pancreatitis,"nausea,vomiting,sharp abdominal pain,upper abdominal pain,lower body pain,burning abdominal pain,abusing alcohol"
choledocholithiasis,"vomiting,decreased appetite,nausea,sharp chest pain,chills"
atrophic vaginitis,"vaginal itching,blood in urine,suprapubic pain"
chronic pain disorder,"shoulder pain,knee pain,back pain,pelvic pain,hip pain,leg pain"
cirrhosis,"regurgitation.1,regurgitation,shortness of breath,abdominal distention,vomiting blood"
transient ischemic attack,"focal weakness,dizziness,loss of sensation,weakness"
cellulitis or abscess of mouth,"abnormal appearing skin,sore throat,throat swelling,difficulty in swallowing"
cirrhosis,"upper abdominal pain,regurgitation.1,blood in stool,vomiting blood,regurgitation"
chronic pain disorder,"headache,shoulder pain,knee pain,leg pain,pelvic pain,back pain"
eating disorder,"decreased appetite,insomnia,abusing alcohol,acne or pimples,anxiety and nervousness"
subdural hemorrhage,"dizziness,irritable infant,facial pain,vomiting,depressive or psychotic symptoms"
diabetic retinopathy,"lacrimation,spots or clouds in vision,foreign body sensation in eye,double vision,pain in eye,symptoms of eye"
pyelonephritis,"lower abdominal pain,frequent urination,back pain,blood in urine,low back pain,side pain,sharp abdominal pain"
chronic pain disorder,"pelvic pain,back pain,shoulder pain,knee pain,low back pain,leg pain"
choledocholithiasis,"jaundice,sharp abdominal pain,sharp chest pain,decreased appetite,chills,side pain,vomiting,nausea"
vaginitis,"vaginal itching,vaginal pain,vaginal discharge,lower abdominal pain,pain during pregnancy,sharp abdominal pain"
eating disorder,"depressive or psychotic symptoms,anxiety and nervousness,acne or pimples"
problem during pregnancy,"spotting or bleeding during pregnancy,nausea,pelvic pain,headache,vomiting,back pain,problems during pregnancy"
eye alignment disorder,"symptoms of eye,eye deviation,double vision,lack of growth,irregular appearing scalp"
fracture of the hand,"arm stiffness or tightness,hand or finger pain"
atelectasis,"dizziness,headache,cough"
glaucoma,"spots or clouds in vision,symptoms of eye,itchiness of eye"
transient ischemic attack,"symptoms of the face,depressive or psychotic symptoms,loss of sensation,focal weakness,difficulty speaking"
acute pancreatitis,"sharp abdominal pain,upper abdominal pain,hemoptysis,back pain,abusing alcohol"
problem during pregnancy,"problems during pregnancy,spotting or bleeding during pregnancy,pelvic pain,cramps and spasms,vomiting"
tinnitus of unknown cause,"hoarse voice,dizziness,plugged feeling in ear,ear pain,headache,ringing in ear,itchy ear(s)"
choledocholithiasis,"decreased appetite,nausea,chills,vomiting,jaundice,sharp abdominal pain,sharp chest pain,side pain"
peritonitis,"back pain,sharp abdominal pain,nausea,groin mass"
eye alignment disorder,"double vision,lack of growth,irregular appearing scalp"
pyelonephritis,"nausea,vomiting,back pain,sharp abdominal pain,side pain,painful urination"
panic disorder,"dizziness,insomnia,depressive or psychotic symptoms,irregular heartbeat,breathing fast,palpitations,depression,anxiety and nervousness"
acute pancreatitis,"upper abdominal pain,lower body pain,abusing alcohol,back pain,nausea,vomiting,hemoptysis,sharp abdominal pain"
peritonitis,"vomiting,side pain,shortness of breath,back pain,intermenstrual bleeding"
panic disorder,"dizziness,abnormal involuntary movements,chest tightness,depression,insomnia,palpitations,breathing fast"
fibromyalgia,"neck pain,low back pain,hip pain,ache all over,back pain,leg pain"
acute pancreatitis,"lower body pain,back pain,sharp abdominal pain,side pain,upper abdominal pain,abusing alcohol"
glaucoma,"itchiness of eye,diminished vision,spots or clouds in vision,symptoms of eye,itchy eyelid,foreign body sensation in eye,pain in eye"
acute pancreatitis,"sharp chest pain,diarrhea,lower body pain,abusing alcohol,nausea"
pyelonephritis,"sharp abdominal pain,lower abdominal pain,back pain,suprapubic pain,side pain"
problem during pregnancy,"sharp abdominal pain,problems during pregnancy,pelvic pain"
fibromyalgia,"back pain,hip pain,ache all over,arm pain,headache,muscle pain,neck pain"
acute pancreatitis,"nausea,burning abdominal pain,vomiting"
chronic pain disorder,"ache all over,back pain,knee pain,pelvic pain,headache,shoulder pain"
panic disorder,"dizziness,irregular heartbeat,insomnia,shortness of breath"
diabetic retinopathy,"itchiness of eye,lacrimation,symptoms of eye"
transient ischemic attack,"depressive or psychotic symptoms,focal weakness,paresthesia,weakness,headache"
chronic pain disorder,"shoulder pain,leg pain,back pain,pelvic pain"
asthma,"coryza,wheezing,nasal congestion,sharp chest pain"
transient ischemic attack,"headache,depressive or psychotic symptoms,symptoms of the face,weakness,paresthesia"
panic disorder,"insomnia,shortness of breath,breathing fast,chest tightness,depressive or psychotic symptoms,depression,irregular heartbeat,dizziness"
eye alignment disorder,"pain in eye,eye deviation,irregular appearing scalp"
eye alignment disorder,"symptoms of eye,lack of growth,irregular appearing scalp,pain in eye"
ischemia of the bowel,"blood in stool,sharp abdominal pain,retention of urine,nausea,burning abdominal pain"
problem during pregnancy,"sharp abdominal pain,pelvic pain,nausea,headache,cramps and spasms"
eating disorder,"weight gain,anxiety and nervousness,insomnia,depressive or psychotic symptoms,decreased appetite,acne or pimples"
panic disorder,"abnormal involuntary movements,shortness of breath,breathing fast,depressive or psychotic symptoms,depression"
problem during pregnancy,"problems during pregnancy,cramps and spasms,vomiting,headache,pelvic pain,lower abdominal pain,sharp abdominal pain,spotting or bleeding during pregnancy"
eating disorder,"anxiety and nervousness,abusing alcohol,insomnia"
atrophic vaginitis,"vaginal discharge,pain during intercourse,frequent urination"
glaucoma,"symptoms of eye,foreign body sensation in eye,pain in eye,itchiness of eye,lacrimation"
vaginitis,"vaginal redness,lower abdominal pain,pelvic pain,painful urination,vaginal discharge,suprapubic pain,sharp abdominal pain"
pyelonephritis,"painful urination,nausea,side pain,blood in urine,suprapubic pain"
problem during pregnancy,"sharp abdominal pain,pain during pregnancy,nausea,back pain,pelvic pain,problems during pregnancy,cramps and spasms"
transient ischemic attack,"difficulty speaking,focal weakness,depressive or psychotic symptoms,disturbance of memory,dizziness,headache"
fibromyalgia,"neck pain,sharp chest pain,headache,hip pain,low back pain"
vaginitis,"vaginal redness,pelvic pain,pain during intercourse,vaginal itching,suprapubic pain,vaginal pain,sharp abdominal pain"
peritonitis,"shortness of breath,back pain,intermenstrual bleeding"
problem during pregnancy,"sharp abdominal pain,pain during pregnancy,cramps and spasms,headache,pelvic pain"
peritonitis,"nausea,groin mass"
tinnitus of unknown cause,"ringing in ear,hoarse voice,ear pain"
pyelonephritis,"nausea,side pain,sharp abdominal pain,suprapubic pain,low back pain,vomiting,blood in urine"
pyelonephritis,"nausea,lower abdominal pain,blood in urine,side pain,painful urination,low back pain"
acute pancreatitis,"hemoptysis,sharp chest pain,back pain,sharp abdominal pain,diarrhea,burning abdominal pain"
asthma,"wheezing,coughing up sputum,cough,shortness of breath"
panic disorder,"dizziness,anxiety and nervousness,depressive or psychotic symptoms,depression,irregular heartbeat,abnormal involuntary movements,palpitations,insomnia"
pyelonephritis,"nausea,back pain,side pain,frequent urination"
